ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0002181	cytoplasmic translation	109/4023	147/17012	2.03135166308387e-38	1.2496875431292e-34	1.03042985941065e-34	RPS20/RPL26L1/YBX3/RPL18/ZC3H15/PKM/FTSJ1/EIF2B3/RPL31/RPS5/EIF3I/RPL6/RPLP0/AARS1/EIF3L/RPL3/EIF5/GSPT1/EIF3J/EIF3E/RPS16/RPS19/RPL18A/EIF3B/EIF4H/EIF3A/RPL28/RPL19/DRG2/RPL34/RPS13/RPS12/RPL24/EIF4G1/RPS15/RPL22/RPS25/ETF1/RPL5/RPS10/RPL23/EIF2S2/RPL36/EIF2S3/EIF3G/RPL27/DPH2/RPS15A/RPL35/RPS6/RPLP1/RPS24/DENR/RPS11/RPL13A/RPS8/EIF2D/RPS27A/RPL32/RPS3A/RPL37/RPL10/RPL7/EIF3H/RPL7A/EIF3M/RPS3/DPH3/RPL30/RPL8/RPL26/RPL29/RPL22L1/RPL9/RPS14/METTL3/RPL27A/RPL13/EEF2/CNBP/RPS9/RPS21/RPS7/RPL4/RPL15/EIF3F/RPLP2/RPS27/EIF3K/RPS17/RPL35A/DRG1/RPS23/RPL14/RPS26/RPL37A/RPL12/RPS4X/RPL23A/RPL10A/MTOR/RPL39/RPLP0P6/RPS29/UBA52/RPL41/RPS18/TMA7/RPS28	109
BP	GO:0022613	ribonucleoprotein complex biogenesis	228/4023	449/17012	1.30082630726317e-36	4.00134172114151e-33	3.29930630247432e-33	LAS1L/RPUSD1/TSR3/UTP18/STRAP/RPL26L1/NOP16/CELF2/RRP12/MRTO4/RIOK2/WDR18/BUD23/XAB2/EXOSC5/XRCC5/DDX1/HSP90AA1/RPS5/WBP11/EIF3I/DIMT1/NOP14/DDX18/XRN2/RPL6/RPLP0/GEMIN2/AGO1/SRPK1/HSP90AB1/SF3A1/SNRPD3/PES1/EIF3L/SNU13/DDX17/RPL3/PRMT5/SRSF5/EIF5/PRPF6/CRNKL1/SUV39H1/EIF3J/EIF3E/PIH1D1/ERCC2/SF3A2/POP4/RPS16/FBL/YJU2/RPS19/NOP53/PRPF31/EIF3B/EIF4H/EIF3A/NPM3/NUP88/C1QBP/FTSJ3/GAR1/PRPF19/PTGES3/KRR1/SRSF9/RPL24/RRP9/RPS15/SF3B1/RPF1/EBNA1BP2/ERI3/UTP25/RPS25/FCF1/WDR55/COIL/GTF3A/MRPS2/RPL5/DDX54/SRSF6/DDX27/SNRPC/RIOK1/RPP40/MRPS7/SNRPD2/SNRPB/EIF2S2/SBDS/EMG1/NGDN/NSUN5/LSM4/EIF2S3/PPAN/EIF3G/DKC1/NOL11/RPL27/TRAF7/DHX30/RAN/MYBBP1A/UTP3/ERAL1/MPHOSPH6/GLUL/PWP1/DDX56/IMP4/RPL35/RPS6/RSL24D1/RPS24/SCAF11/SNRPF/TARBP2/DENR/CUL4A/UTP4/EIF4A3/TXNL4A/RPL13A/RPS8/EIF2D/SNRPG/SNRNP200/POLR2D/SHQ1/EIF2A/LYAR/NHP2/ABT1/RPL7L1/RPL10/RPL7/EIF3H/REXO4/RPL7A/RPP30/PDCD11/EIF3M/DHX37/HEATR3/NIFK/RPUSD3/TSR2/RRP1B/RRP1/SLX9/ADAR/RPL26/NOL9/ABCE1/NSA2/RPS14/SLU7/DCAF13/NOL6/RPUSD4/DDX21/BMS1/NOLC1/POP5/SF1/CD2BP2/MRPL1/RAMAC/PA2G4/EXOSC1/EXOSC10/RPS21/MRM3/RPS7/POP7/CLP1/TRMT112/ZNF622/PRPF8/DDX23/EIF3F/SART1/RUVBL1/RBIS/RPS27/IMP3/RPP25/EIF3K/RRS1/PUF60/NPM1/MRPS11/SNRPE/NOP10/RPS17/RPL35A/RUVBL2/SF3A3/UTP11/TBL3/NOC4L/RPL14/NOC2L/RRP7A/NOP9/RPL23A/RPL10A/RPLP0P6/DDX3X/EXOSC6/WDR46/RPS28/ISY1/PWP2/EIF6/MRPL20/PRKDC/MPV17L2/GTF2H5/ZNHIT3/TAF9/AATF/DDX52	228
BP	GO:0009060	aerobic respiration	119/4023	184/17012	1.6739331407043e-32	3.43267889387094e-29	2.83041537019439e-29	NDUFAB1/UQCRC1/MDH1/BID/CS/NDUFB4/MTFR1/RHOA/IDH3G/SDHA/NDUFB2/DLD/FH/MSH2/ATP5F1D/NDUFB7/ACO2/IDH3B/SLC25A14/ANTKMT/NOP53/OGDH/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/COX6A1/COX7A2/DGUOK/NDUFS7/COX7A2L/PARK7/ATP5PB/SDHB/MTFR1L/NDUFB3/NDUFA8/IDE/CAT/ACO1/ATP5F1E/NDUFA1/SLC25A23/COX6B1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/PDHA1/CCNB1/BLOC1S1/COX5B/ISCU/NDUFB5/UQCC2/IDH1/NDUFB10/AKT1/SDHC/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/DLAT/NDUFC2/ATP5F1A/ATP5PF/OXA1L/UQCRB/PINK1/NDUFS2/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/IDH3A/ATP5MG/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/CDK1/NDUFA3/CYCS/SUCLG2/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4/ND6/ND5/ND4/ATP6/SDHD/ND4L/ARL2/NDUFS3/ATP8/UQCRHL/ATP5MF/ATP5PO/CHCHD10	119
BP	GO:0042254	ribosome biogenesis	160/4023	293/17012	1.22584382792983e-30	1.88534780735607e-27	1.55456352810364e-27	LAS1L/RPUSD1/TSR3/UTP18/RPL26L1/NOP16/RRP12/MRTO4/RIOK2/WDR18/BUD23/EXOSC5/XRCC5/RPS5/WBP11/DIMT1/NOP14/DDX18/XRN2/RPL6/RPLP0/PES1/SNU13/DDX17/RPL3/SUV39H1/PIH1D1/ERCC2/POP4/RPS16/FBL/RPS19/NOP53/NPM3/NUP88/C1QBP/FTSJ3/GAR1/KRR1/RPL24/RRP9/RPS15/RPF1/EBNA1BP2/ERI3/UTP25/RPS25/FCF1/WDR55/GTF3A/MRPS2/RPL5/DDX54/DDX27/RIOK1/RPP40/MRPS7/SBDS/EMG1/NGDN/NSUN5/PPAN/DKC1/NOL11/RPL27/TRAF7/DHX30/RAN/MYBBP1A/UTP3/ERAL1/MPHOSPH6/GLUL/PWP1/DDX56/IMP4/RPL35/RPS6/RSL24D1/RPS24/CUL4A/UTP4/EIF4A3/RPS8/SHQ1/EIF2A/LYAR/NHP2/ABT1/RPL7L1/RPL10/RPL7/REXO4/RPL7A/RPP30/PDCD11/DHX37/HEATR3/NIFK/RPUSD3/TSR2/RRP1B/RRP1/SLX9/RPL26/NOL9/ABCE1/NSA2/RPS14/DCAF13/NOL6/RPUSD4/DDX21/BMS1/NOLC1/POP5/MRPL1/PA2G4/EXOSC1/EXOSC10/RPS21/MRM3/RPS7/POP7/TRMT112/ZNF622/SART1/RBIS/RPS27/IMP3/RPP25/RRS1/NPM1/MRPS11/NOP10/RPS17/RPL35A/UTP11/TBL3/NOC4L/RPL14/NOC2L/RRP7A/NOP9/RPL23A/RPL10A/RPLP0P6/DDX3X/EXOSC6/WDR46/RPS28/PWP2/EIF6/MRPL20/PRKDC/MPV17L2/GTF2H5/ZNHIT3/AATF/DDX52	160
BP	GO:0045333	cellular respiration	131/4023	225/17012	5.7925422848609e-29	7.12714402729285e-26	5.87668658331467e-26	NDUFAB1/UQCRC1/MDH1/BID/CS/NDUFB4/MTFR1/RHOA/IDH3G/SDHA/NDUFB2/DLD/FH/MSH2/ATP5F1D/NDUFB7/ACO2/IDH3B/SLC25A14/ANTKMT/NOP53/OGDH/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/COX6A1/COX7A2/DGUOK/GPD2/NDUFS7/COX7A2L/PARK7/ATP5PB/SDHB/MTFR1L/NDUFB3/NDUFA8/IDE/CAT/ACO1/CISD1/ATP5F1E/NDUFA1/SLC25A23/COX6B1/TRAP1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/PDHA1/MYBBP1A/CCNB1/BLOC1S1/COQ10A/COX5B/ISCU/NDUFB5/UQCC2/IDH1/NDUFB10/IFNAR1/AKT1/SDHC/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/SLC25A25/DLAT/NDUFC2/ATP5F1A/ATP5PF/OXA1L/UQCRB/PINK1/NDUFS2/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/IDH3A/ATP5MG/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/UQCRFS1/PRELID1/CDK1/NDUFA3/CYCS/SUCLG2/UQCRH/COX8A/GBA/PLEC/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA12/NDUFA6/LYRM7/NDUFA4/ND6/ND5/ND4/ATP6/SDHD/ND4L/ARL2/NDUFS3/ATP8/UQCRHL/ATP5MF/ATP5PO/CHCHD10	131
BP	GO:0006119	oxidative phosphorylation	93/4023	137/17012	4.23452938680699e-28	4.34180413127277e-25	3.58003458158296e-25	NDUFAB1/UQCRC1/BID/NDUFB4/RHOA/SDHA/NDUFB2/DLD/MSH2/ATP5F1D/NDUFB7/ANTKMT/CHCHD2/PPIF/NDUFC1/NDUFS8/ATP5F1B/COX6A1/COX7A2/DGUOK/NDUFS7/COX7A2L/PARK7/ATP5PB/NDUFB3/NDUFA8/ATP5F1E/NDUFA1/SLC25A23/COX6B1/COX7C/UQCR11/NDUFA5/COX4I1/COX7B/NDUFA2/CCNB1/COX5B/ISCU/NDUFB5/UQCC2/NDUFB10/SDHC/SNCA/NDUFS6/NIPSNAP2/NDUFB9/NDUFC2/ATP5F1A/ATP5PF/UQCRB/PINK1/NDUFS2/UQCRQ/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/GHITM/NDUFB8/ATP5MG/NDUFV1/ATP5PD/COA6/NDUFS5/ATP5ME/CDK1/NDUFA3/CYCS/UQCRH/COX8A/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/NDUFA12/NDUFA6/NDUFA4/ND6/ND5/ND4/ATP6/SDHD/ND4L/NDUFS3/ATP8/UQCRHL/ATP5MF/ATP5PO/CHCHD10	93
BP	GO:0006364	rRNA processing	125/4023	219/17012	1.39624512176477e-26	1.22709999844241e-23	1.01180529951646e-23	LAS1L/RPUSD1/TSR3/UTP18/RRP12/MRTO4/RIOK2/WDR18/BUD23/EXOSC5/WBP11/DIMT1/NOP14/DDX18/XRN2/PES1/SNU13/DDX17/SUV39H1/PIH1D1/ERCC2/POP4/RPS16/FBL/RPS19/NOP53/NPM3/FTSJ3/GAR1/KRR1/RRP9/RPS15/RPF1/EBNA1BP2/ERI3/UTP25/RPS25/FCF1/WDR55/RPL5/DDX54/DDX27/RIOK1/RPP40/SBDS/EMG1/NGDN/NSUN5/PPAN/DKC1/NOL11/RPL27/UTP3/MPHOSPH6/PWP1/DDX56/IMP4/RPL35/RPS6/RPS24/UTP4/EIF4A3/RPS8/SHQ1/LYAR/NHP2/ABT1/RPL7L1/RPL7/REXO4/RPL7A/RPP30/PDCD11/DHX37/NIFK/RPUSD3/TSR2/RRP1B/RRP1/SLX9/RPL26/NOL9/NSA2/RPS14/DCAF13/NOL6/RPUSD4/DDX21/BMS1/NOLC1/POP5/MRPL1/PA2G4/EXOSC1/EXOSC10/RPS21/MRM3/RPS7/POP7/TRMT112/SART1/RPS27/IMP3/RPP25/RRS1/MRPS11/NOP10/RPS17/RPL35A/UTP11/TBL3/NOC4L/RPL14/RRP7A/NOP9/RPL10A/EXOSC6/WDR46/RPS28/PWP2/EIF6/PRKDC/GTF2H5/ZNHIT3/DDX52	125
BP	GO:0006091	generation of precursor metabolites and energy	216/4023	476/17012	4.59550987604453e-26	3.53394709467825e-23	2.9139160648235e-23	NDUFAB1/CIAPIN1/CYB561/UQCRC1/MDH1/BID/GLRX2/H6PD/CYBA/AKR7A2/CS/SPHK2/PDIA5/NDUFB4/MTFR1/FECH/PFKP/PHKA1/PKM/RHOA/IDH3G/P4HA2/ACADVL/SDHA/ENO1/ACAT1/AACS/ME2/OXCT1/AKR1B1/NDUFB2/DLD/FH/PHGDH/MSH2/ATP5F1D/NDUFB7/ACO2/PYGL/DHRS2/PYGB/IDH3B/SLC25A14/PGK1/ANTKMT/GSR/GYS1/GPI/NOP53/GSK3A/OGDH/CHCHD2/PPIF/GIT1/NDUFC1/NDUFS8/ATP5F1B/PTGES3/ALDH2/GAPDH/TPI1/COX6A1/PPARD/COX7A2/GNPDA1/DGUOK/GPD2/NDUFS7/COX7A2L/PARK7/ATP5PB/SDHB/AKR1A1/MTFR1L/NDUFB3/NDUFA8/IDE/CAT/ACO1/CISD1/ATP5F1E/NQO2/NDUFA1/SLC25A23/COX6B1/TRAP1/COX7C/UQCR11/POR/NDUFA5/PGLS/ATP5IF1/COX4I1/COX7B/NDUFA2/PDHA1/SELENOS/INPP5K/MYBBP1A/CCNB1/BLOC1S1/COQ10A/COX5B/ISCU/NDUFB5/UQCC2/FDX1/KHK/IDH1/COX17/ETFA/NDUFB10/NCOR1/TP53/PFKL/IFNAR1/APP/AKT1/PGD/SDHC/DEGS1/SNCA/NDUFS6/MDH2/NIPSNAP2/NDUFB9/SLC25A25/DLAT/NDUFC2/QDPR/SLC25A4/ATP5F1A/RPIA/ATP5PF/OXA1L/UQCRB/HK1/PHKG2/PRXL2C/PINK1/NDUFS2/ALDH4A1/G6PD/JMJD8/AGL/GYG1/TKT/UQCRQ/FOXK1/COX6C/FXN/NDUFB6/VCP/STOML2/ATP5F1C/ENOX2/GHITM/NDUFB8/COX11/CYB5A/IDH3A/ATP5MG/NDUFV1/ATP5PD/COA6/PDHB/NDUFS5/ATP5ME/UQCRFS1/PRELID1/UGP2/CDK1/NDUFA3/CYCS/SUCLG2/PPP1CA/UQCRH/COX8A/TALDO1/GBA/PLEC/GLDC/COX5A/CYC1/SHMT2/NDUFB1/UQCR10/PPP1R2/NDUFA12/NDUFA6/IRS2/NDUFA13/PPP1CC/LYRM7/NDUFA4/HMGB1/STK40/ADH5/GFPT1/ND6/ND5/MTOR/ND4/ATP6/SDHD/ND4L/ARL2/NDUFS3/PPP1CB/PHB2/ATP8/UQCRHL/ATP5MF/ATP5PO/EIF6/CHCHD10	216
BP	GO:0007005	mitochondrion organization	223/4023	499/17012	9.11858031609199e-26	6.23305623384421e-23	5.13946649628623e-23	GCLC/BAD/POLDIP2/NDUFAB1/SLC25A5/RALA/GGCT/BID/RALBP1/GCLM/TOMM34/MIPEP/BAK1/NDUFB4/MTFR1/VPS35/TFRC/HSD17B10/MARK2/HSP90AA1/CTTN/BAX/AURKA/NDUFB2/TMEM14A/SH3GLB1/ATP5F1D/NDUFB7/TIMM13/TOMM22/FBXO7/TSPO/SAMM50/RAB5IF/PSMD10/TSC2/ARMC1/PPP2CB/PDCD5/TIMM50/DMAC2/MYH14/GSK3A/PMPCB/SSBP1/CHCHD2/MAPK8/PITRM1/TFAM/PPIF/KAT2A/VAT1/UBE2D3/NDUFC1/GRPEL1/ATG2A/AIP/NDUFS8/CAMKK2/WASF1/COX7A2/HSPA9/CERT1/THG1L/GOLPH3/NDUFS7/COX7A2L/PARK7/MFN2/RAB29/MTFR1L/RAB32/NDUFB3/NDUFA8/SLIRP/IFIT2/CLU/ATPAF1/NDUFAF4/NDUFA1/ALKBH7/MGME1/ROMO1/BECN1/TIMM17B/TIMM8A/NDUFA5/NECTIN2/TOMM40/SESN2/ATP5IF1/NDUFA2/TIMM10B/IMMT/CLUH/TIMM17A/TIMM10/HRK/NMT1/NDUFB5/YME1L1/DMAC1/UQCC2/COX17/PIF1/MAP1LC3B/RHOT2/NDUFB10/ARRB2/TP53/AKT1/SAE1/HAX1/PARP1/HSPD1/SNCA/CISD2/HIGD2A/DYNLT1/NIPSNAP2/NDUFB11/NDUFB9/MIGA2/TIMM8B/NDUFC2/SLC25A4/BAG3/BCL2L11/CXADR/FLCN/OXA1L/AIFM1/WIPI2/PINK1/NDUFS2/TOMM40L/CCAR2/ATP13A2/THEM4/CHCHD6/CALM3/ATAD3B/UBE2J2/LMNA/SELENON/BAP1/CDK5/FMC1/FXN/NDUFB6/STOML2/VDAC2/PRDX3/GHITM/PMPCA/FUNDC2/NDUFB8/PHB/ACAA2/WDR81/NDUFS5/LETM1/MFF/UQCRFS1/PRELID1/TRIAP1/NDUFA3/MFN1/ATPAF2/MTX1/MICOS10/TOMM20/CNP/HAP1/NDUFA11/MICOS13/PARL/TMEM70/ULK1/TIMM22/GBA/NDUFAF3/PLEC/COX14/SHARPIN/HIGD1A/NDUFB1/COA3/NDUFA12/NDUFA6/UBE2L3/BCAP31/NDUFA13/LYRM7/FZD9/SDHAF3/TOMM7/WDR45/ATAD3A/MARCHF5/UBL5/CALM1/ND6/ND5/OPA1/ND4/SREBF2/ATG9A/INF2/MLLT11/NDUFS3/SLC35F6/RTL10/PHB2/NDUFAF8/PET100/GPX1/PISD/PGAM5/SMIM20/CHCHD10/TIMM23/RCC1L	223
BP	GO:0016072	rRNA metabolic process	127/4023	230/17012	3.66506170197156e-25	2.2547459590529e-22	1.85915077282115e-22	LAS1L/RPUSD1/TSR3/UTP18/RRP12/MRTO4/RIOK2/WDR18/BUD23/EXOSC5/WBP11/DIMT1/NOP14/DDX18/XRN2/PES1/SNU13/DDX17/SUV39H1/PIH1D1/ERCC2/POP4/RPS16/FBL/RPS19/NOP53/NPM3/FTSJ3/GAR1/KRR1/RRP9/RPS15/RPF1/EBNA1BP2/ERI3/UTP25/RPS25/FCF1/WDR55/RPL5/DDX54/TRIR/DDX27/RIOK1/RPP40/SBDS/EMG1/NGDN/NSUN5/PPAN/DKC1/NOL11/RPL27/UTP3/MPHOSPH6/PWP1/DDX56/IMP4/RPL35/RPS6/RPS24/UTP4/EIF4A3/RPS8/SHQ1/LYAR/NHP2/ABT1/RPL7L1/RPL7/REXO4/RPL7A/RPP30/PDCD11/DHX37/NIFK/RPUSD3/TSR2/RRP1B/RRP1/SLX9/DEDD2/RPL26/NOL9/NSA2/RPS14/DCAF13/NOL6/RPUSD4/DDX21/BMS1/NOLC1/POP5/MRPL1/PA2G4/EXOSC1/EXOSC10/RPS21/MRM3/RPS7/POP7/TRMT112/SART1/RPS27/IMP3/RPP25/RRS1/MRPS11/NOP10/RPS17/RPL35A/UTP11/TBL3/NOC4L/RPL14/RRP7A/NOP9/RPL10A/EXOSC6/WDR46/RPS28/PWP2/EIF6/PRKDC/GTF2H5/ZNHIT3/DDX52	127
